estado,municipio,bairros,ano,periodo,levantamento,iip,iib,A1,A2,B,C,D1,D2,E,timestamp,mosquito,longitude_latitude
AMAZONAS,MANAUS,ADRIANOPOLIS,2016,agosto,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/8/2016,Aegypti,"[-60.00679912742864,-3.105988332692729]"
AMAZONAS,MANAUS,ADRIANOPOLIS,2017,outubro,2,3.2,9.6,0.0,0.0,66.67,0.0,0.0,33.33,0.0,1/10/2017,Aegypti,"[-60.00679912742864,-3.105988332692729]"
AMAZONAS,MANAUS,ADRIANOPOLIS,2017,fevereiro,1,0.78,0.78,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1/2/2017,Aegypti,"[-60.00679912742864,-3.105988332692729]"
AMAZONAS,MANAUS,ADRIANOPOLIS,2018,outubro,2,1.56,1.56,0.0,50.0,0.0,50.0,0.0,0.0,0.0,1/10/2018,Aegypti,"[-60.00679912742864,-3.105988332692729]"
AMAZONAS,MANAUS,ADRIANOPOLIS,2018,janeiro,1,1.56,1.56,0.0,50.0,0.0,50.0,0.0,0.0,0.0,1/1/2018,Aegypti,"[-60.00679912742864,-3.105988332692729]"
AMAZONAS,MANAUS,ADRIANOPOLIS,2019,fevereiro,1,7.69,9.74,0.0,10.53,5.26,10.53,10.53,63.16,0.0,1/2/2019,Aegypti,"[-60.00679912742864,-3.105988332692729]"
AMAZONAS,MANAUS,ADRIANOPOLIS,2019,novembro,2,8.18,10.69,0.0,5.88,11.76,0.0,0.0,82.35,0.0,1/11/2019,Aegypti,"[-60.00679912742864,-3.105988332692729]"
AMAZONAS,MANAUS,ADRIANOPOLIS,2020,fevereiro,1,2.84,4.26,0.0,0.0,0.0,0.0,83.33,16.67,0.0,1/2/2020,Aegypti,"[-60.00679912742864,-3.105988332692729]"
AMAZONAS,MANAUS,ALEIXO,2016,agosto,2,0.98,1.31,0.0,0.0,0.0,0.0,25.0,25.0,50.0,1/8/2016,Aegypti,"[-59.97264153003734,-3.074807123979609]"
AMAZONAS,MANAUS,ALEIXO,2017,outubro,2,1.91,3.82,0.0,20.0,0.0,30.0,0.0,50.0,0.0,1/10/2017,Aegypti,"[-59.97264153003734,-3.074807123979609]"
AMAZONAS,MANAUS,ALEIXO,2017,fevereiro,1,1.1,1.8,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1/2/2017,Aegypti,"[-59.97264153003734,-3.074807123979609]"
AMAZONAS,MANAUS,ALEIXO,2018,outubro,2,0.29,0.87,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1/10/2018,Aegypti,"[-59.97264153003734,-3.074807123979609]"
AMAZONAS,MANAUS,ALEIXO,2018,janeiro,1,0.29,0.87,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1/1/2018,Aegypti,"[-59.97264153003734,-3.074807123979609]"
AMAZONAS,MANAUS,ALEIXO,2019,fevereiro,1,1.85,3.32,0.0,0.0,0.0,0.0,77.78,22.22,0.0,1/2/2019,Aegypti,"[-59.97264153003734,-3.074807123979609]"
AMAZONAS,MANAUS,ALEIXO,2019,novembro,2,1.93,2.53,0.0,35.29,17.65,5.88,0.0,41.18,0.0,1/11/2019,Aegypti,"[-59.97264153003734,-3.074807123979609]"
AMAZONAS,MANAUS,ALEIXO,2020,fevereiro,1,1.06,2.47,0.0,0.0,14.29,28.57,0.0,57.14,0.0,1/2/2020,Aegypti,"[-59.97264153003734,-3.074807123979609]"
AMAZONAS,MANAUS,ALVORADA,2016,agosto,2,1.33,1.83,0.0,40.91,13.64,0.0,4.55,40.91,0.0,1/8/2016,Aegypti,"[-60.03788164441648,-3.05913957068962]"
AMAZONAS,MANAUS,ALVORADA,2017,outubro,2,2.33,3.19,0.0,13.51,45.95,2.7,5.41,27.03,5.41,1/10/2017,Aegypti,"[-60.03788164441648,-3.05913957068962]"
AMAZONAS,MANAUS,ALVORADA,2017,fevereiro,1,1.66,2.09,0.0,20.83,41.67,8.33,0.0,29.17,0.0,1/2/2017,Aegypti,"[-60.03788164441648,-3.05913957068962]"
AMAZONAS,MANAUS,ALVORADA,2018,outubro,2,2.27,2.64,0.0,10.34,13.79,3.45,6.9,65.52,0.0,1/10/2018,Aegypti,"[-60.03788164441648,-3.05913957068962]"
AMAZONAS,MANAUS,ALVORADA,2018,janeiro,1,2.27,2.64,0.0,10.34,13.79,3.45,6.9,65.52,0.0,1/1/2018,Aegypti,"[-60.03788164441648,-3.05913957068962]"
AMAZONAS,MANAUS,ALVORADA,2019,fevereiro,1,2.62,3.32,0.0,23.68,26.32,2.63,13.16,31.58,2.63,1/2/2019,Aegypti,"[-60.03788164441648,-3.05913957068962]"
AMAZONAS,MANAUS,ALVORADA,2019,novembro,2,1.23,1.23,0.0,50.0,25.0,0.0,12.5,12.5,0.0,1/11/2019,Aegypti,"[-60.03788164441648,-3.05913957068962]"
AMAZONAS,MANAUS,ALVORADA,2020,fevereiro,1,1.68,1.68,0.0,21.05,21.05,0.0,26.32,31.58,0.0,1/2/2020,Aegypti,"[-60.03788164441648,-3.05913957068962]"
AMAZONAS,MANAUS,ARMANDO MENDES,2016,agosto,2,2.88,2.88,0.0,57.14,35.71,7.14,0.0,0.0,0.0,1/8/2016,Aegypti,"[-59.93110229396741,-3.082952411104523]"
AMAZONAS,MANAUS,ARMANDO MENDES,2017,outubro,2,2.51,2.97,0.0,23.08,7.69,0.0,15.38,53.85,0.0,1/10/2017,Aegypti,"[-59.93110229396741,-3.082952411104523]"
AMAZONAS,MANAUS,ARMANDO MENDES,2017,fevereiro,1,9.77,11.63,0.0,38.0,20.0,6.0,16.0,20.0,0.0,1/2/2017,Aegypti,"[-59.93110229396741,-3.082952411104523]"
AMAZONAS,MANAUS,ARMANDO MENDES,2018,janeiro,1,7.49,8.43,0.0,55.56,22.22,8.33,2.78,11.11,0.0,1/1/2018,Aegypti,"[-59.93110229396741,-3.082952411104523]"
AMAZONAS,MANAUS,ARMANDO MENDES,2019,fevereiro,1,4.2,4.43,0.0,36.84,36.84,0.0,5.26,21.05,0.0,1/2/2019,Aegypti,"[-59.93110229396741,-3.082952411104523]"
AMAZONAS,MANAUS,ARMANDO MENDES,2019,novembro,2,1.86,2.78,0.0,16.67,33.33,0.0,16.67,33.33,0.0,1/11/2019,Aegypti,"[-59.93110229396741,-3.082952411104523]"
AMAZONAS,MANAUS,ARMANDO MENDES,2020,fevereiro,1,3.94,4.87,0.0,61.9,23.81,4.76,0.0,9.52,0.0,1/2/2020,Aegypti,"[-59.93110229396741,-3.082952411104523]"
AMAZONAS,MANAUS,BETANIA,2016,agosto,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/8/2016,Aegypti,"[-59.99291767091276,-3.131945229299213]"
AMAZONAS,MANAUS,BETANIA,2017,outubro,2,1.36,1.36,0.0,50.0,0.0,0.0,0.0,50.0,0.0,1/10/2017,Aegypti,"[-59.99291767091276,-3.131945229299213]"
AMAZONAS,MANAUS,BETANIA,2017,fevereiro,1,3.31,5.3,0.0,37.5,0.0,25.0,0.0,37.5,0.0,1/2/2017,Aegypti,"[-59.99291767091276,-3.131945229299213]"
AMAZONAS,MANAUS,BETANIA,2018,outubro,2,2.98,2.98,0.0,60.0,0.0,0.0,0.0,40.0,0.0,1/10/2018,Aegypti,"[-59.99291767091276,-3.131945229299213]"
AMAZONAS,MANAUS,BETANIA,2018,janeiro,1,2.98,2.98,0.0,60.0,0.0,0.0,0.0,40.0,0.0,1/1/2018,Aegypti,"[-59.99291767091276,-3.131945229299213]"
AMAZONAS,MANAUS,BETANIA,2019,fevereiro,1,2.11,4.23,0.0,0.0,16.67,0.0,16.67,66.67,0.0,1/2/2019,Aegypti,"[-59.99291767091276,-3.131945229299213]"
AMAZONAS,MANAUS,BETANIA,2019,novembro,2,1.8,1.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1/11/2019,Aegypti,"[-59.99291767091276,-3.131945229299213]"
AMAZONAS,MANAUS,BETANIA,2020,fevereiro,1,3.52,4.23,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1/2/2020,Aegypti,"[-59.99291767091276,-3.131945229299213]"
AMAZONAS,MANAUS,CACHOEIRINHA,2016,agosto,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/8/2016,Aegypti,"[-60.00632702958904,-3.117239713713795]"
AMAZONAS,MANAUS,CACHOEIRINHA,2017,outubro,2,0.96,1.61,0.0,20.0,0.0,0.0,0.0,80.0,0.0,1/10/2017,Aegypti,"[-60.00632702958904,-3.117239713713795]"
AMAZONAS,MANAUS,CACHOEIRINHA,2017,fevereiro,1,0.7,1.87,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1/2/2017,Aegypti,"[-60.00632702958904,-3.117239713713795]"
AMAZONAS,MANAUS,CACHOEIRINHA,2018,outubro,2,1.82,4.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1/10/2018,Aegypti,"[-60.00632702958904,-3.117239713713795]"
AMAZONAS,MANAUS,CACHOEIRINHA,2018,janeiro,1,1.82,4.73,0.0,0.0,7.69,0.0,76.92,15.38,0.0,1/1/2018,Aegypti,"[-60.00632702958904,-3.117239713713795]"
AMAZONAS,MANAUS,CACHOEIRINHA,2019,fevereiro,1,1.06,1.42,0.0,0.0,75.0,0.0,25.0,0.0,0.0,1/2/2019,Aegypti,"[-60.00632702958904,-3.117239713713795]"
AMAZONAS,MANAUS,CACHOEIRINHA,2019,novembro,2,0.96,1.08,0.0,22.22,33.33,22.22,0.0,22.22,0.0,1/11/2019,Aegypti,"[-60.00632702958904,-3.117239713713795]"
AMAZONAS,MANAUS,CACHOEIRINHA,2020,fevereiro,1,1.67,4.0,0.0,8.33,33.33,0.0,8.33,50.0,0.0,1/2/2020,Aegypti,"[-60.00632702958904,-3.117239713713795]"
AMAZONAS,MANAUS,CENTRO,2016,agosto,2,0.36,0.36,0.0,33.33,0.0,0.0,0.0,66.67,0.0,1/8/2016,Aegypti,"[-60.01659492567287,-3.121640011102947]"
AMAZONAS,MANAUS,CENTRO,2017,outubro,2,0.63,1.39,0.0,9.09,27.27,0.0,36.36,27.27,0.0,1/10/2017,Aegypti,"[-60.01659492567287,-3.121640011102947]"
AMAZONAS,MANAUS,CENTRO,2017,fevereiro,1,0.81,1.63,0.0,7.14,0.0,0.0,7.14,85.71,0.0,1/2/2017,Aegypti,"[-60.01659492567287,-3.121640011102947]"
AMAZONAS,MANAUS,CENTRO,2018,outubro,2,2.28,3.42,0.0,3.7,37.04,3.7,3.7,51.85,0.0,1/10/2018,Aegypti,"[-60.01659492567287,-3.121640011102947]"
AMAZONAS,MANAUS,CENTRO,2018,janeiro,1,2.28,3.42,0.0,3.7,37.04,3.7,3.7,51.85,0.0,1/1/2018,Aegypti,"[-60.01659492567287,-3.121640011102947]"
AMAZONAS,MANAUS,CENTRO,2019,fevereiro,1,1.54,2.3,0.0,16.67,0.0,11.11,11.11,61.11,0.0,1/2/2019,Aegypti,"[-60.01659492567287,-3.121640011102947]"
AMAZONAS,MANAUS,CENTRO,2019,novembro,2,1.88,2.46,0.0,29.41,17.65,0.0,11.76,41.18,0.0,1/11/2019,Aegypti,"[-60.01659492567287,-3.121640011102947]"
AMAZONAS,MANAUS,CENTRO,2020,fevereiro,1,0.13,0.26,0.0,0.0,50.0,0.0,0.0,50.0,0.0,1/2/2020,Aegypti,"[-60.01659492567287,-3.121640011102947]"
AMAZONAS,MANAUS,CHAPADA,2016,agosto,2,0.34,0.34,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1/8/2016,Aegypti,"[-60.02422436127687,-3.085501333252545]"
AMAZONAS,MANAUS,CHAPADA,2017,outubro,2,0.79,1.58,0.0,0.0,0.0,0.0,50.0,50.0,0.0,1/10/2017,Aegypti,"[-60.02422436127687,-3.085501333252545]"
AMAZONAS,MANAUS,CHAPADA,2017,fevereiro,1,1.9,3.42,0.0,33.33,0.0,11.11,22.22,33.33,0.0,1/2/2017,Aegypti,"[-60.02422436127687,-3.085501333252545]"
AMAZONAS,MANAUS,CHAPADA,2018,outubro,2,1.96,1.96,0.0,0.0,33.33,0.0,0.0,33.33,33.33,1/10/2018,Aegypti,"[-60.02422436127687,-3.085501333252545]"
AMAZONAS,MANAUS,CHAPADA,2018,janeiro,1,1.96,1.96,0.0,0.0,33.33,0.0,0.0,33.33,33.33,1/1/2018,Aegypti,"[-60.02422436127687,-3.085501333252545]"
AMAZONAS,MANAUS,CHAPADA,2019,fevereiro,1,2.6,3.65,0.0,0.0,57.14,0.0,28.57,14.29,0.0,1/2/2019,Aegypti,"[-60.02422436127687,-3.085501333252545]"
AMAZONAS,MANAUS,CHAPADA,2019,novembro,2,0.52,0.52,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1/11/2019,Aegypti,"[-60.02422436127687,-3.085501333252545]"
AMAZONAS,MANAUS,CHAPADA,2020,fevereiro,1,1.14,1.7,0.0,0.0,0.0,33.33,0.0,33.33,33.33,1/2/2020,Aegypti,"[-60.02422436127687,-3.085501333252545]"
AMAZONAS,MANAUS,CIDADE DE DEUS,2016,agosto,2,0.59,0.17,0.0,55.56,11.11,0.0,11.11,22.22,0.0,1/8/2016,Aegypti,"[-59.95993223138143,-3.027446663255629]"
AMAZONAS,MANAUS,CIDADE DE DEUS,2017,outubro,2,1.3,1.39,0.0,31.25,18.75,0.0,0.0,50.0,0.0,1/10/2017,Aegypti,"[-59.95993223138143,-3.027446663255629]"
AMAZONAS,MANAUS,CIDADE DE DEUS,2017,fevereiro,1,1.53,1.53,0.0,16.67,22.22,11.11,0.0,44.44,5.56,1/2/2017,Aegypti,"[-59.95993223138143,-3.027446663255629]"
AMAZONAS,MANAUS,CIDADE DE DEUS,2018,outubro,2,1.73,2.54,0.0,36.0,8.0,4.0,4.0,48.0,0.0,1/10/2018,Aegypti,"[-59.95993223138143,-3.027446663255629]"
AMAZONAS,MANAUS,CIDADE DE DEUS,2018,janeiro,1,1.73,2.54,0.0,36.0,8.0,4.0,4.0,48.0,0.0,1/1/2018,Aegypti,"[-59.95993223138143,-3.027446663255629]"
AMAZONAS,MANAUS,CIDADE DE DEUS,2019,fevereiro,1,2.0,2.5,0.0,25.0,33.33,0.0,8.33,33.33,0.0,1/2/2019,Aegypti,"[-59.95993223138143,-3.027446663255629]"
AMAZONAS,MANAUS,CIDADE DE DEUS,2019,novembro,2,3.47,4.31,0.67,48.32,19.8,4.36,5.03,21.81,0.0,1/11/2019,Aegypti,"[-59.95993223138143,-3.027446663255629]"
AMAZONAS,MANAUS,CIDADE DE DEUS,2020,fevereiro,1,1.19,1.19,0.0,18.18,36.36,9.09,9.09,27.27,0.0,1/2/2020,Aegypti,"[-59.95993223138143,-3.027446663255629]"
AMAZONAS,MANAUS,CIDADE NOVA,2016,agosto,2,0.79,0.18,0.0,31.58,36.84,10.53,5.26,15.79,0.0,1/8/2016,Aegypti,"[-59.9722915999231,-3.010224897035123]"
AMAZONAS,MANAUS,CIDADE NOVA,2017,outubro,2,1.4,2.04,0.0,23.68,15.79,2.63,5.26,52.63,0.0,1/10/2017,Aegypti,"[-59.9722915999231,-3.010224897035123]"
AMAZONAS,MANAUS,CIDADE NOVA,2017,fevereiro,1,3.31,3.91,0.0,31.82,19.7,3.03,10.61,34.85,0.0,1/2/2017,Aegypti,"[-59.9722915999231,-3.010224897035123]"
AMAZONAS,MANAUS,CIDADE NOVA,2018,outubro,2,1.4,1.96,0.0,22.86,20.0,2.86,2.86,51.43,0.0,1/10/2018,Aegypti,"[-59.9722915999231,-3.010224897035123]"
AMAZONAS,MANAUS,CIDADE NOVA,2018,janeiro,1,1.4,1.96,0.0,22.86,20.0,2.86,2.86,51.43,0.0,1/1/2018,Aegypti,"[-59.9722915999231,-3.010224897035123]"
AMAZONAS,MANAUS,CIDADE NOVA,2019,fevereiro,1,1.5,1.7,0.0,16.67,20.0,0.0,10.0,53.33,0.0,1/2/2019,Aegypti,"[-59.9722915999231,-3.010224897035123]"
AMAZONAS,MANAUS,CIDADE NOVA,2019,novembro,2,2.36,3.25,0.0,34.09,31.82,2.27,6.82,25.0,0.0,1/11/2019,Aegypti,"[-59.9722915999231,-3.010224897035123]"
AMAZONAS,MANAUS,CIDADE NOVA,2020,fevereiro,1,0.9,1.13,0.0,30.0,20.0,5.0,15.0,30.0,0.0,1/2/2020,Aegypti,"[-59.9722915999231,-3.010224897035123]"
AMAZONAS,MANAUS,COLONIA ANTONIO ALEIXO,2016,agosto,2,2.18,2.18,0.0,85.71,0.0,0.0,14.29,0.0,0.0,1/8/2016,Aegypti,"[-59.89146462899075,-3.078054187304578]"
AMAZONAS,MANAUS,COLONIA ANTONIO ALEIXO,2017,outubro,2,0.51,0.51,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1/10/2017,Aegypti,"[-59.89146462899075,-3.078054187304578]"
AMAZONAS,MANAUS,COLONIA ANTONIO ALEIXO,2017,fevereiro,1,9.15,10.13,0.0,45.16,12.9,12.9,6.45,22.58,0.0,1/2/2017,Aegypti,"[-59.89146462899075,-3.078054187304578]"
AMAZONAS,MANAUS,COLONIA ANTONIO ALEIXO,2018,janeiro,1,3.86,4.82,0.0,53.33,13.33,0.0,0.0,33.33,0.0,1/1/2018,Aegypti,"[-59.89146462899075,-3.078054187304578]"
AMAZONAS,MANAUS,COLONIA ANTONIO ALEIXO,2019,fevereiro,1,2.39,2.39,0.0,57.14,28.57,0.0,14.29,0.0,0.0,1/2/2019,Aegypti,"[-59.89146462899075,-3.078054187304578]"
AMAZONAS,MANAUS,COLONIA ANTONIO ALEIXO,2019,novembro,2,1.14,1.14,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1/11/2019,Aegypti,"[-59.89146462899075,-3.078054187304578]"
AMAZONAS,MANAUS,COLONIA ANTONIO ALEIXO,2020,fevereiro,1,2.56,3.66,0.0,60.0,0.0,10.0,10.0,20.0,0.0,1/2/2020,Aegypti,"[-59.89146462899075,-3.078054187304578]"
AMAZONAS,MANAUS,COLONIA OLIVEIRA MACHADO,2016,agosto,2,0.57,1.14,0.0,50.0,0.0,0.0,0.0,50.0,0.0,1/8/2016,Aegypti,"[-59.99481981229032,-3.149749242331398]"
AMAZONAS,MANAUS,COLONIA OLIVEIRA MACHADO,2017,outubro,2,3.31,4.97,0.0,77.78,0.0,0.0,0.0,22.22,0.0,1/10/2017,Aegypti,"[-59.99481981229032,-3.149749242331398]"
